Series Name,Series Code,Country Name,Country Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,45752,46662,46473,45763,45361,45872,47518,50052,52999,55633,57453,58319,58412,57954,57240,56547,55886,55215,54621,54194,53971,54013,54306,54786,55301,55779,56187,56553,56889,57213,57557,57910
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4261732,4286401,4311991,4336613,4359184,4381336,4405157,4431464,4461913,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5188607,5234519,5276968,5311916,5347896,5379475,5408320
"Population, total",SP.POP.TOTL,Oman,OMN,1812158,1893761,1983272,2072106,2148416,2204267,2236652,2249759,2251859,2254898,2267973,2294959,2334860,2386164,2445524,2511254,2580753,2657162,2750956,2876186,3041435,3251102,3498031,3764805,4027255,4267341,4479217,4665926,4829476,4974992,5106622,5223376
"Population, total",SP.POP.TOTL,Pakistan,PAK,107647918,110778655,113911126,117086680,120362764,123776835,127349293,131057432,134843233,138624625,142343583,145978408,149549695,153093371,156664698,160304007,164022626,167808106,171648984,175525610,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331,225199929
"Population, total",SP.POP.TOTL,Palau,PLW,15063,15442,15859,16285,16735,17158,17599,18016,18409,18773,19104,19390,19642,19812,19861,19784,19545,19159,18708,18290,17954,17748,17635,17603,17625,17665,17718,17809,17911,18001,18092,18174
"Population, total",SP.POP.TOTL,Panama,PAN,2470946,2523115,2575949,2629584,2684117,2739667,2796291,2853907,2912318,2971197,3030333,3089641,3149195,3209056,3269356,3330222,3391673,3453671,3516204,3579215,3642691,3706479,3770635,3835447,3901311,3968490,4037073,4106764,4176868,4246440,4314768,4381583
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,4615843,4725543,4836216,4949053,5065664,5187063,5314258,5446633,5581767,5716166,5847590,5974627,6098621,6223378,6354247,6494902,6646891,6808503,6976200,7144774,7310512,7472196,7631003,7788388,7946733,8107772,8271766,8438038,8606324,8776119,8947027,9119005
"Population, total",SP.POP.TOTL,Paraguay,PRY,4223413,4334348,4445019,4555518,4666096,4776838,4887638,4998096,5107840,5216346,5323202,5428442,5531958,5632983,5730556,5824095,5913212,5998430,6081296,6163970,6248017,6333981,6421510,6510273,6599524,6688746,6777878,6867058,6956069,7044639,7132530,7219641
"Population, total",SP.POP.TOTL,Peru,PER,22071433,22522383,22966822,23408135,23851405,24299168,24753825,25210957,25658070,26078295,26459944,26799289,27100964,27372217,27624226,27866140,28102055,28333050,28562321,28792663,29027680,29264314,29506790,29773986,30090372,30470739,30926036,31444299,31989265,32510462,32971846,33359416
"Population, total",SP.POP.TOTL,Philippines,PHL,61895169,63454785,65020124,66593904,68180846,69784087,71401743,73030879,74672009,76325927,77991757,79672869,81365260,83051970,84710544,86326251,87888675,89405482,90901967,92414161,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085,111046910
"Population, total",SP.POP.TOTL,Poland,POL,38110782,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37986412,37970087,37974826,37974750,37965475,37899070,37781024
"Population, total",SP.POP.TOTL,Portugal,PRT,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10358076,10325452,10300300,10283822,10286263,10297081,10299423
"Population, total",SP.POP.TOTL,Puerto Rico,PRI,3537000,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,3760866,3740410,3721525,3678732,3634488,3593077,3534874,3473232,3406672,3325286,3193354,3193694,3281538,3263584
"Population, total",SP.POP.TOTL,Qatar,QAT,476275,487354,495403,501479,507044,513447,522531,535320,551566,570486,592467,615013,640872,681791,753332,865410,1022704,1218441,1436670,1654944,1856329,2035862,2196078,2336579,2459202,2565708,2654379,2724727,2781682,2832071,2881060,2930524
"Population, total",SP.POP.TOTL,Romania,ROU,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19815616,19702267,19588715,19473970,19371648,19257520,19115146
"Population, total",SP.POP.TOTL,Russian Federation,RUS,147969407,148394216,148538197,148458777,148407912,148375787,148160129,147915361,147670784,147214776,146596869,145976482,145306497,144648618,144067316,143518814,143049637,142805114,142742366,142785349,142849468,142960908,143201721,143506995,143819667,144096870,144342397,144496739,144477859,144406261,144073139,143446060
"Population, total",SP.POP.TOTL,Rwanda,RWA,7288883,7083928,6702239,6263758,5936253,5836490,6013112,6419898,6962800,7501238,7933688,8231150,8427061,8557160,8680516,8840220,9043342,9273759,9524532,9782770,10039338,10293333,10549668,10811538,11083629,11369066,11668829,11980960,12301969,12626938,12952209,13276517
"Population, total",SP.POP.TOTL,Samoa,WSM,162797,164000,165490,167117,168689,170050,171165,172065,172839,173606,174454,175394,176410,177481,178597,179722,180874,182045,183270,184553,185944,187469,189089,190712,192220,193510,194540,195358,196128,197093,198410,200144
"Population, total",SP.POP.TOTL,San Marino,SMR,24124,24454,24830,25208,25588,25925,26253,26563,26851,27141,27460,27818,28175,28561,28942,29324,29694,30068,30434,30825,31221,31655,32103,32554,32941,33270,33503,33671,33784,33864,33938,34010
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,119211,121949,124574,127066,129426,131679,133799,135831,137855,139964,142264,144760,147450,150405,153736,157472,161676,166297,171122,175877,180372,184521,188394,192076,195727,199439,203221,207086,211032,215048,219161,223364
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,16233786,16772695,17282686,17763297,18214475,18638790,19033843,19407138,19783301,20194531,20663840,21202646,21805322,22456645,23132686,23816175,24498313,25184589,25888535,26630303,27421468,28267591,29154906,30052058,30916603,31717676,32443443,33101183,33702757,34268529,34813867,35340680
"Population, total",SP.POP.TOTL,Senegal,SEN,7526306,7755503,7990090,8226749,8461066,8690155,8912872,9130876,9347777,9568717,9797731,10036102,10283694,10541470,10810086,11090123,11382272,11687078,12004700,12335092,12678143,13033814,13401990,13782429,14174740,14578450,14993514,15419354,15854324,16296362,16743930,17196308
"Population, total",SP.POP.TOTL,Serbia,SRB,7586000,7595636,7646424,7699307,7734639,7625357,7617794,7596501,7567745,7540401,7516346,7503433,7496522,7480591,7463157,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7095383,7058322,7020858,6982604,6945235,6899126,6844078
"Population, total",SP.POP.TOTL,Seychelles,SYC,69507,70439,70763,72253,74205,75304,76417,77319,78846,80410,81131,81202,83723,82781,82475,82858,84600,85033,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,97625,98462,99202
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,4319763,4348663,4347727,4328965,4309780,4303953,4312660,4335295,4381484,4462374,4584570,4754069,4965770,5201074,5433995,5645629,5829240,5989641,6133599,6272735,6415636,6563238,6712586,6863975,7017153,7171909,7328846,7488427,7650149,7813207,7976985,8141343
"Population, total",SP.POP.TOTL,Singapore,SGP,3047132,3135083,3230698,3313471,3419048,3524506,3670704,3796038,3927213,3958723,4027887,4138012,4175950,4114826,4166664,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002,5607283,5612253,5638676,5703569,5685807,5453566
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,28814,29852,30458,30765,30950,31164,31434,31731,31240,31084,30519,30600,30777,31472,32488,33011,33441,33811,33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40895,41608,42310,42846
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5423801,5430798,5439232,5446771,5454147,5458827,5447247
"Population, total",SP.POP.TOTL,Slovenia,SVN,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2073894,2088385,2102419,2107007
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,311869,320781,330004,339501,349273,359276,369517,379998,390702,401592,412665,423949,435434,447016,458549,469918,481086,492133,503366,515182,527861,541522,556066,571329,587079,603133,619438,636030,652856,669821,686878,703995
"Population, total",SP.POP.TOTL,Somalia,SOM,7225089,7274026,7295380,7315864,7372592,7491647,7682683,7936122,8235064,8553595,8872250,9186719,9501335,9815412,10130251,10446856,10763904,11080122,11397188,11717691,12043886,12376305,12715487,13063711,13423571,13797204,14185635,14589165,15008225,15442906,15893219,16359500
"Population, total",SP.POP.TOTL,South Africa,ZAF,36800507,37718952,38672611,39633754,40564061,41435761,42241007,42987456,43682259,44338551,44967713,45571272,46150913,46719203,47291610,47880595,48489464,49119766,49779472,50477013,51216967,52003759,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690,60041996
"Population, total",SP.POP.TOTL,South Sudan,SSD,5492620,5420179,5305449,5185712,5111371,5118084,5221925,5411653,5661934,5933884,6199396,6447791,6688225,6935665,7213354,7535931,7907407,8315144,8736932,9142258,9508372,9830695,10113648,10355030,10554882,10715657,10832520,10910774,10975924,11062114,11193729,11381377
"Population, total",SP.POP.TOTL,Spain,ESP,38867322,38966376,39157685,39361262,39549108,39724050,39889852,40057389,40223509,40386875,40567864,40850412,41431558,42187645,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46773055,46620045,46480882,46444832,46484062,46593236,46797754,47134837,47363419,47326687
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,17325769,17535732,17736827,17924827,18094474,18242917,18367290,18470897,18564595,18663293,18777606,18911727,19062476,19224036,19387153,19544988,19695977,19842044,19983984,20123508,20261738,20398496,20425000,20585000,20778000,20970000,21203000,21444000,21670000,21803000,21919000,22156000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,40260,40381,40691,41141,41618,42077,42472,42857,43225,43622,44083,44602,45168,45749,46323,46852,47333,47769,48178,48599,49011,49442,49881,50328,50776,51204,51629,52036,52438,52834,53192,53546
"Population, total",SP.POP.TOTL,St. Lucia,LCA,138019,140001,141758,143402,145080,146871,148837,150920,153023,154988,156737,158184,159392,160530,161821,163408,165378,167644,170011,172223,174092,175538,176654,177505,178307,179131,180028,180955,181890,182795,183629,184401
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,31522,32441,31816,30194,28482,27320,26854,26910,27388,28122,28935,29847,30913,32055,33187,34252,35240,36138,36880,37380,37582,37451,37012,36458,36018,35865,36061,36569,37264,38002,38659,39239
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,107489,107772,107941,108036,108059,108043,107983,107895,107807,107763,107787,107893,108095,108322,108520,108617,108602,108516,108401,108293,108260,108315,108435,108624,108868,109135,109467,109826,110210,110593,110947,111269
"Population, total",SP.POP.TOTL,Sudan,SDN,20147592,20891442,21696240,22527837,23338465,24094741,24782384,25413912,26015518,26626512,27275019,27971077,28704786,29460517,30214189,30949514,31661824,32360619,33060844,33783779,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269,44909351
"Population, total",SP.POP.TOTL,Suriname,SUR,405169,413009,420658,428028,435099,441851,448207,454165,459838,465380,470944,476574,482228,487938,493680,499461,505292,511181,517122,523113,529126,535177,541247,547295,553278,559136,564883,570501,575987,581363,586634,591798
"Population, total",SP.POP.TOTL,Eswatini,SWZ,822423,845267,866995,887706,907622,926836,945506,963416,979922,994105,1005432,1013608,1019054,1022796,1026287,1030575,1036095,1042651,1049948,1057462,1064841,1072029,1079285,1086843,1095022,1104038,1113994,1124808,1136274,1148133,1160164,1172369
"Population, total",SP.POP.TOTL,Sweden,SWE,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811
"Population, total",SP.POP.TOTL,Switzerland,CHE,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8636561,8697723
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,12446168,12815400,13187669,13565074,13950486,14345491,14754148,15175308,15599588,16013992,16410847,16766555,17084628,17415214,17827827,18361178,19059257,19878257,20664037,21205873,21362541,21081814,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657,18275704
"Population, total",SP.POP.TOTL,Tajikistan,TJK,5283811,5400636,5502490,5593317,5679169,5764806,5851354,5938404,6027395,6119664,6216329,6318510,6426861,6541550,6662391,6789318,6922590,7062667,7209924,7364752,7527397,7697507,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642,9749625
"Population, total",SP.POP.TOTL,Tanzania,TZA,25203848,26056605,26961204,27887204,28792649,29649128,30444523,31192853,31924201,32682240,33499177,34385849,35334790,36337778,37379766,38450323,39548666,40681416,41853944,43073830,44346532,45673520,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213,61498438
"Population, total",SP.POP.TOTL,Thailand,THA,56558196,57232471,57811025,58337773,58875275,59467272,60130190,60846588,61585103,62298569,62952639,63539190,64069093,64549867,64995303,65416189,65812540,66182064,66530980,66866834,67195032,67518379,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978,69950844
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,737814,759526,783204,806867,827828,844333,855358,861870,866523,873138,884366,901214,922699,947110,971889,995130,1016437,1036388,1055428,1074286,1093517,1113154,1133002,1153288,1174333,1196294,1219289,1243260,1267975,1293120,1318442,1343875
"Population, total",SP.POP.TOTL,Togo,TGO,3774310,3862998,3945902,4029044,4120615,4226293,4348808,4485945,4632451,4780455,4924406,5062571,5197040,5330629,5467770,5611643,5762881,5920360,6083417,6250840,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737,8478242
"Population, total",SP.POP.TOTL,Tonga,TON,95069,95243,95398,95556,95739,95972,96267,96621,97036,97475,97962,98482,99023,99591,100214,100908,101714,102577,103384,103897,103981,103558,102736,101768,101023,100780,101143,102002,103199,104497,105697,106759
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1221121,1229108,1236685,1243605,1249527,1254200,1257547,1259838,1261699,1263927,1267159,1271627,1277210,1283564,1290115,1296497,1302552,1308450,1314449,1320921,1328144,1336180,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491,1403374
"Population, total",SP.POP.TOTL,Tunisia,TUN,8242509,8427851,8613855,8795934,8967916,9125400,9267335,9395119,9509862,9613587,9708347,9793915,9871261,9945282,10022278,10106778,10201211,10304729,10414425,10525691,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618,11935764
"Population, total",SP.POP.TOTL,Turkiye,TUR,53921758,54840595,55748946,56653808,57564209,58486453,59423278,60372571,61329665,62287391,63240196,64192243,65145357,66089402,67010930,67903461,68756809,69581854,70418612,71321406,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067,85042736
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,3683978,3789188,3899843,4010789,4115105,4207841,4287337,4355125,4413477,4466133,4516128,4564087,4610018,4655752,4703396,4754652,4810114,4870142,4935765,5007953,5087211,5174076,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187,6117933
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,12115,12815,13639,14526,15399,16221,16930,17566,18228,19069,20171,21578,23230,25008,26709,28181,29394,30383,31200,31933,32658,33371,34067,34733,35371,35979,36558,37116,37667,38194,38718,39226
"Population, total",SP.POP.TOTL,Tuvalu,TUV,8910,9014,9110,9194,9259,9298,9317,9328,9332,9344,9392,9478,9593,9724,9871,9997,10118,10219,10315,10413,10521,10626,10744,10849,10973,11099,11232,11365,11505,11655,11792,11925
"Population, total",SP.POP.TOTL,Uganda,UGA,17354395,17953534,18561668,19175986,19793541,20413157,21032817,21655392,22290787,22952406,23650159,24388974,25167261,25980547,26821300,27684590,28571475,29486335,30431734,31411096,32428164,33476772,34558700,35694519,36911530,38225447,39649173,41166588,42729032,44269587,45741000,47123533
"Population, total",SP.POP.TOTL,Ukraine,UKR,51891400,52000500,52150400,52179200,51921400,51512800,51057800,50594600,50144500,49674000,49176500,48662400,48202470,47812949,47451626,47105171,46787786,46509355,46258189,46053331,45870741,45706086,45593342,45489648,45272155,45154036,45004673,44831135,44622518,44386203,44132049,43814581
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,1828437,1937159,2052892,2173135,2294377,2415099,2539121,2671361,2813214,2966029,3134067,3302722,3478769,3711931,4068577,4588222,5300172,6168846,7089486,7917368,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400,9991083
"Population, total",SP.POP.TOTL,United Kingdom,GBR,57247586,57424897,57580402,57718614,57865745,58019030,58166950,58316954,58487141,58682466,58892514,59119673,59370479,59647577,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258810,63700215,64128273,64602298,65116219,65611593,66058859,66460344,66836327,67081000,67326569
"Population, total",SP.POP.TOTL,United States,USA,249623000,252981000,256514000,259919000,263126000,266278000,269394000,272657000,275854000,279040000,282162411,284968955,287625193,290107933,292805298,295516599,298379912,301231207,304093966,306771529,309327143,311583481,313877662,316059947,318386329,320738994,323071755,325122128,326838199,328329953,331501080,331893745
"Population, total",SP.POP.TOTL,Uruguay,URY,3109598,3131657,3154459,3177734,3201149,3224275,3247383,3270158,3291053,3308005,3319734,3325471,3326046,3323661,3321486,3321799,3325403,3331753,3340221,3349676,3359273,3368926,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727,3485152
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,20510000,20952000,21449000,21942000,22377000,22785000,23225000,23667000,24051000,24311650,24650400,24964450,25271850,25567650,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32956100,33580350,34232050,34915100
"Population, total",SP.POP.TOTL,Vanuatu,VUT,146575,150718,155176,159743,164128,168161,171721,174917,177987,181259,184964,189209,193927,198960,204123,209282,214379,219464,224700,230244,236216,242658,249505,256637,263888,271128,278326,285499,292675,299882,307150,314464
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,19632665,20096314,20557694,21016900,21474553,21931087,22385650,22837743,23288567,23739835,24192449,24646471,25100407,25551624,25996594,26432445,26850190,27247601,27635827,28031010,28439942,28887873,29360827,29781046,30042973,30081827,29851249,29402480,28887117,28515829,28435943,28704947
"Population, total",SP.POP.TOTL,Vietnam,VNM,67988855,69436956,70883488,72300308,73651220,74910462,76068739,77133212,78115712,79035871,79910411,80742500,81534406,82301650,83062819,83832662,84617545,85419588,86243424,87092250,87967655,88871384,89801926,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583,98168829
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,103963,104807,105712,106578,107318,107818,108095,108357,108537,108599,108642,108549,108509,108505,108466,108453,108369,108337,108397,108404,108357,108290,108188,108041,107882,107712,107516,107281,107001,106669,106290,105870
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,1978248,2068845,2163591,2262676,2366298,2474666,2587997,2706518,2776568,2848431,2922153,2997784,3075373,3154969,3236626,3320396,3406334,3494496,3591977,3689099,3786161,3882986,3979998,4076708,4173398,4270092,4367088,4454805,4569087,4685306,4803269,4922749
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,11709987,12302127,12954157,13634082,14297617,14913313,15469274,15975676,16450306,16921157,17409071,17918369,18443684,18985001,19540096,20107416,20687648,21282514,21892149,22516464,23154854,23807586,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968,30490639
"Population, total",SP.POP.TOTL,Zambia,ZMB,8036849,8246662,8451346,8656484,8869745,9096608,9339740,9597610,9866474,10140564,10415942,10692197,10971704,11256740,11550641,11856244,12173518,12502958,12848531,13215142,13605986,14023199,14465148,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956,18920657
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,10432409,10681008,10900511,11092775,11261752,11410721,11541215,11653254,11747079,11822722,11881482,11923906,11954293,11982219,12019911,12076697,12155496,12255920,12379553,12526964,12697728,12894323,13115149,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927,15092171
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 07/20/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
